0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
20,0.67
21,0.693333333333333
22,0.701333333333333
23,0.708
24,0.700666666666667
25,0.737333333333333
26,0.725333333333333
27,0.728
28,0.728666666666667
29,0.738
30,0.766666666666667
31,0.741333333333333
32,0.742666666666667
33,0.698
34,0.769333333333333
35,0.771333333333333
36,0.720666666666667
37,0.761333333333333
38,0.766666666666667
39,0.755333333333333
40,0.768
41,0.766
42,0.788666666666667
43,0.760666666666667
44,0.772
45,0.753333333333333
46,0.757333333333333
47,0.776
48,0.772666666666667
49,0.792
50,0.79
51,0.797333333333333
52,0.798666666666667
53,0.778
54,0.795333333333333
55,0.781333333333333
56,0.766666666666667
57,0.76
58,0.784
59,0.792
60,0.792666666666667
61,0.788666666666667
62,0.809333333333333
63,0.802
64,0.792
65,0.778666666666667
66,0.780666666666667
67,0.782
68,0.804666666666667
69,0.790666666666667
70,0.808666666666667
71,0.79
72,0.798666666666667
73,0.791333333333333
74,0.790666666666667
75,0.809333333333333
76,0.802666666666667
77,0.788666666666667
78,0.814666666666667
79,0.8
80,0.795333333333333
81,0.816
82,0.821333333333333
83,0.810666666666667
84,0.796
85,0.82
86,0.817333333333333
87,0.814666666666667
88,0.812
89,0.792
90,0.818
91,0.819333333333333
92,0.807333333333333
93,0.814
94,0.799333333333333
95,0.814666666666667
96,0.812666666666667
97,0.816
98,0.796
99,0.832666666666667
100,0.793333333333333
